job_id,seller_id,arrival_time,estimated_runtime,priority,job_type
1,C,2,5,5,thumbnail
2,C,3,8,4,thumbnail
3,B,5,4,5,policy_check
4,D,6,5,4,metadata_update
5,C,7,4,4,thumbnail
6,B,9,6,4,resize
7,E,10,6,5,metadata_update
8,A,12,4,4,resize
9,E,13,8,5,resize
10,B,15,8,4,thumbnail
11,B,16,8,1,policy_check
12,A,17,7,2,compress
13,C,18,5,1,policy_check
14,B,19,5,2,resize
15,D,21,7,1,metadata_update
16,B,23,8,2,thumbnail
17,A,24,5,1,compress
18,C,25,5,2,thumbnail
19,B,26,8,1,compress
20,D,28,5,1,resize
